"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/09/2024","AQS","131210056","1","1.1","ppm","13","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/10/2024","AQS","131210056","1","1.1","ppm","13","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/11/2024","AQS","131210056","1","0.9","ppm","10","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/12/2024","AQS","131210056","1","0.9","ppm","10","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/13/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/14/2024","AQS","131210056","1","0.8","ppm","9","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/15/2024","AQS","131210056","1","1.2","ppm","14","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/16/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/17/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/18/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/19/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/20/2024","AQS","131210056","1","1.1","ppm","13","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/21/2024","AQS","131210056","1","1.4","ppm","16","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/22/2024","AQS","131210056","1","0.8","ppm","9","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/23/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/24/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/25/2024","AQS","131210056","1","0.8","ppm","9","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/26/2024","AQS","131210056","1","0.8","ppm","9","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/27/2024","AQS","131210056","1","0.8","ppm","9","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/28/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"02/29/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/01/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/02/2024","AQS","131210056","1","0.9","ppm","10","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/03/2024","AQS","131210056","1","1.3","ppm","15","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/04/2024","AQS","131210056","1","1","ppm","11","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
