"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/20/2024","AQS","060251003","1","16.1","ppb","15","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/21/2024","AQS","060251003","1","6.2","ppb","6","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/22/2024","AQS","060251003","1","13.6","ppb","12","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/23/2024","AQS","060251003","1","16","ppb","15","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/24/2024","AQS","060251003","1","26.9","ppb","25","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/25/2024","AQS","060251003","1","18.9","ppb","17","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/26/2024","AQS","060251003","1","32","ppb","30","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/27/2024","AQS","060251003","1","8.6","ppb","8","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/28/2024","AQS","060251003","1","20.9","ppb","19","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/29/2024","AQS","060251003","1","16.1","ppb","15","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
